,precision,recall,f1-score,support,AUC,accuracy,model
macro avg,0.8112273201067082,0.8118520931286467,0.8110166084186435,1064.0,0.8118520931286466,0.8110902255639098,Random_Forest50
weighted avg,0.8123240764490949,0.8110902255639098,0.8111848761792523,1064.0,0.8118520931286466,0.8110902255639098,Random_Forest50
0,0.7926356589147286,0.8051181102362205,0.798828125,508.0,0.8063360335353764,0.806390977443609,Random_Forest100
1,0.8193430656934306,0.8075539568345323,0.8134057971014492,556.0,0.8063360335353764,0.806390977443609,Random_Forest100
macro avg,0.8059893623040797,0.8063360335353764,0.8061169610507246,1064.0,0.8063360335353764,0.806390977443609,Random_Forest100
weighted avg,0.8065917850133737,0.806390977443609,0.8064457807221859,1064.0,0.8063360335353764,0.806390977443609,Random_Forest100
0,0.7816764132553606,0.7893700787401575,0.7855044074436827,508.0,0.7939656149096471,0.7941729323308271,Random_Forest200
1,0.8058076225045372,0.7985611510791367,0.8021680216802168,556.0,0.7939656149096471,0.7941729323308271,Random_Forest200
macro avg,0.7937420178799489,0.7939656149096471,0.7938362145619497,1064.0,0.7939656149096471,0.7941729323308271,Random_Forest200
weighted avg,0.7942863308705319,0.7941729323308271,0.7942120855597663,1064.0,0.7939656149096471,0.7941729323308271,Random_Forest200
0,0.7985074626865671,0.84251968503937,0.8199233716475096,508.0,0.8241375403614117,0.8233082706766918,Random_Forest400
1,0.8484848484848485,0.8057553956834532,0.8265682656826568,556.0,0.8241375403614117,0.8233082706766918,Random_Forest400
macro avg,0.8234961555857079,0.8241375403614116,0.8232458186650833,1064.0,0.8241375403614117,0.8233082706766918,Random_Forest400
weighted avg,0.8246234650398043,0.8233082706766918,0.8233957034929437,1064.0,0.8241375403614117,0.8233082706766918,Random_Forest400
0,0.7996219281663516,0.8326771653543307,0.8158148505303761,508.0,0.821014841669971,0.8204887218045113,Random_Forest800
1,0.8411214953271028,0.8093525179856115,0.8249312557286893,556.0,0.821014841669971,0.8204887218045113,Random_Forest800
macro avg,0.8203717117467272,0.8210148416699711,0.8203730531295327,1064.0,0.821014841669971,0.8204887218045113,Random_Forest800
weighted avg,0.8213077922089997,0.8204887218045113,0.8205786863294947,1064.0,0.821014841669971,0.8204887218045113,Random_Forest800
0,0.7925233644859813,0.8346456692913385,0.8130393096836048,508.0,0.8175026907607772,0.8167293233082706,Random_Forest1600
1,0.8412098298676749,0.8003597122302158,0.8202764976958525,556.0,0.8175026907607772,0.8167293233082706,Random_Forest1600
macro avg,0.8168665971768281,0.8175026907607772,0.8166579036897287,1064.0,0.8175026907607772,0.8167293233082706,Random_Forest1600
weighted avg,0.8179647881252873,0.8167293233082706,0.8168211485321102,1064.0,0.8175026907607772,0.8167293233082706,Random_Forest1600
0,0.7908745247148289,0.8188976377952756,0.804642166344294,508.0,0.8105279555882853,0.8101503759398496,Random_Forest2716
1,0.828996282527881,0.802158273381295,0.8153564899451554,556.0,0.8105279555882853,0.8101503759398496,Random_Forest2716
macro avg,0.809935403621355,0.8105279555882853,0.8099993281447246,1064.0,0.8105279555882853,0.8101503759398496,Random_Forest2716
weighted avg,0.8107952928953336,0.8101503759398496,0.8102410046169246,1064.0,0.8105279555882853,0.8101503759398496,Random_Forest2716
0,0.7891566265060241,0.7736220472440944,0.7813121272365805,508.0,0.7923865631903926,0.793233082706767,Decision_Tree50
1,0.7968197879858657,0.8111510791366906,0.8039215686274509,556.0,0.7923865631903926,0.793233082706767,Decision_Tree50
macro avg,0.7929882072459449,0.7923865631903926,0.7926168479320157,1064.0,0.7923865631903926,0.793233082706767,Decision_Tree50
weighted avg,0.7931610605124075,0.793233082706767,0.7931268353318097,1064.0,0.7923865631903926,0.793233082706767,Decision_Tree50
0,0.7974683544303798,0.7440944881889764,0.769857433808554,508.0,0.7857163088426896,0.7875939849624061,Decision_Tree100
1,0.7796610169491526,0.8273381294964028,0.8027923211169284,556.0,0.7857163088426896,0.7875939849624061,Decision_Tree100
macro avg,0.7885646856897661,0.7857163088426896,0.7863248774627412,1064.0,0.7857163088426896,0.7875939849624061,Decision_Tree100
weighted avg,0.7881630164232724,0.7875939849624061,0.7870677696576669,1064.0,0.7857163088426896,0.7875939849624061,Decision_Tree100
0,0.7526427061310782,0.7007874015748031,0.72579001019368,508.0,0.7451778734492721,0.7471804511278195,Decision_Tree200
1,0.7428087986463621,0.789568345323741,0.7654751525719268,556.0,0.7451778734492721,0.7471804511278195,Decision_Tree200
macro avg,0.7477257523887202,0.745177873449272,0.7456325813828033,1064.0,0.7451778734492721,0.7471804511278195,Decision_Tree200
weighted avg,0.7475039349266589,0.7471804511278195,0.7465277349702826,1064.0,0.7451778734492721,0.7471804511278195,Decision_Tree200
0,0.8231578947368421,0.7696850393700787,0.7955239064089521,508.0,0.8093029513397156,0.8110902255639098,Decision_Tree400
1,0.801358234295416,0.8489208633093526,0.8244541484716157,556.0,0.8093029513397156,0.8110902255639098,Decision_Tree400
macro avg,0.812258064516129,0.8093029513397156,0.8099890274402839,1064.0,0.8093029513397156,0.8110902255639098,Decision_Tree400
weighted avg,0.8117663428520367,0.8110902255639098,0.8106415892913215,1064.0,0.8093029513397156,0.8110902255639098,Decision_Tree400
0,0.869281045751634,0.7854330708661418,0.8252326783867633,508.0,0.8387597009006967,0.8411654135338346,Decision_Tree800
1,0.8198347107438017,0.8920863309352518,0.8544358311800173,556.0,0.8387597009006967,0.8411654135338346,Decision_Tree800
macro avg,0.8445578782477179,0.8387597009006968,0.8398342547833904,1064.0,0.8387597009006967,0.8411654135338346,Decision_Tree800
weighted avg,0.8434425473828796,0.8411654135338346,0.840492972515569,1064.0,0.8387597009006967,0.8411654135338346,Decision_Tree800
0,0.8096234309623431,0.7618110236220472,0.7849898580121704,508.0,0.7990709794369228,0.8007518796992481,Decision_Tree1600
1,0.7935153583617748,0.8363309352517986,0.8143607705779334,556.0,0.7990709794369228,0.8007518796992481,Decision_Tree1600
macro avg,0.801569394662059,0.7990709794369228,0.7996753142950519,1064.0,0.7990709794369228,0.8007518796992481,Decision_Tree1600
weighted avg,0.8012060546785874,0.8007518796992481,0.8003378160822495,1064.0,0.7990709794369228,0.8007518796992481,Decision_Tree1600
0,0.860730593607306,0.7421259842519685,0.7970401691331924,508.0,0.8162068770180706,0.8195488721804511,Decision_Tree2716
1,0.7907348242811502,0.8902877697841727,0.8375634517766498,556.0,0.8162068770180706,0.8195488721804511,Decision_Tree2716
macro avg,0.8257327089442281,0.8162068770180706,0.8173018104549211,1064.0,0.8162068770180706,0.8195488721804511,Decision_Tree2716
weighted avg,0.8241538570045404,0.8195488721804511,0.8182158694619163,1064.0,0.8162068770180706,0.8195488721804511,Decision_Tree2716
